COMUNA,TIPO_DELITO,DIA_SEMANA,BLOQUE_HORARIO,NIVEL_RIESGO,CONFIANZA_PREDICCION,PROBABILIDAD_ALTO,PROBABILIDAD_MEDIO,PROBABILIDAD_BAJO,DELITOS_HISTORICOS
Comuna Cabecera del Llano,DELITOS SEXUALES,jueves,NOCHE,BAJO,0.5397450495837541,0.014542657349562655,0.4457122930666831,0.5397450495837541,7.0
Comuna Cabecera del Llano,DELITOS SEXUALES,viernes,MADRUGADA,MEDIO,0.5662755562831963,0.0016791240276370157,0.5662755562831963,0.43204531968916654,4.0
Comuna Cabecera del Llano,DELITOS SEXUALES,viernes,MAÑANA,MEDIO,0.841797428971715,0.07120269361562866,0.841797428971715,0.08699987741265637,8.0
Comuna Cabecera del Llano,DELITOS SEXUALES,viernes,TARDE,MEDIO,0.7525085137531355,0.06819112992887529,0.7525085137531355,0.17930035631798893,7.0
Comuna Cabecera del Llano,DELITOS SEXUALES,viernes,NOCHE,MEDIO,0.7700549781619566,0.04311545480676052,0.7700549781619566,0.1868295670312829,10.0
Comuna Cabecera del Llano,DELITOS SEXUALES,sábado,MADRUGADA,BAJO,0.5147997388407335,0.0037146815290037614,0.4814855796302626,0.5147997388407335,6.0
Comuna Cabecera del Llano,DELITOS SEXUALES,sábado,MAÑANA,MEDIO,0.7552945836019397,0.07423459929014653,0.7552945836019397,0.17047081710791356,9.0
Comuna Cabecera del Llano,DELITOS SEXUALES,sábado,TARDE,MEDIO,0.6479907474960831,0.06397109241510912,0.6479907474960831,0.2880381600888078,5.0
Comuna Cabecera del Llano,DELITOS SEXUALES,sábado,NOCHE,MEDIO,0.6869714171649117,0.04570902006067473,0.6869714171649117,0.2673195627744138,6.0
Comuna Cabecera del Llano,DELITOS SEXUALES,domingo,MADRUGADA,MEDIO,0.553350303844141,0.000997268452078173,0.553350303844141,0.44565242770378105,12.0
Comuna Cabecera del Llano,DELITOS SEXUALES,domingo,MAÑANA,MEDIO,0.5967467772631465,0.01817928430537141,0.5967467772631465,0.38507393843148224,5.0
Comuna Cabecera del Llano,DELITOS SEXUALES,domingo,TARDE,BAJO,0.5422199910778874,0.022126393795089162,0.43565361512702333,0.5422199910778874,3.0
Comuna Cabecera del Llano,DELITOS SEXUALES,domingo,NOCHE,BAJO,0.5768598633061012,0.005957271582856274,0.41718286511104274,0.5768598633061012,2.0
Comuna Cabecera del Llano,HOMICIDIOS,lunes,MADRUGADA,BAJO,0.8626433482521473,0.0,0.13735665174785264,0.8626433482521473,3.0
Comuna Cabecera del Llano,HOMICIDIOS,lunes,MAÑANA,BAJO,0.9175912038303399,0.002466851958913707,0.0799419442107463,0.9175912038303399,1.0
Comuna Cabecera del Llano,HOMICIDIOS,lunes,TARDE,BAJO,0.953671424548111,0.0,0.04632857545188904,0.953671424548111,1.0
Comuna Cabecera del Llano,HOMICIDIOS,lunes,NOCHE,BAJO,0.9082007246881477,0.00011495998056993603,0.09168431533128255,0.9082007246881477,4.0
Comuna Cabecera del Llano,HOMICIDIOS,martes,MADRUGADA,BAJO,0.964108829298799,0.0,0.03589117070120115,0.964108829298799,1.0
Comuna Cabecera del Llano,HOMICIDIOS,martes,MAÑANA,ALTO,0.47839643910811025,0.47839643910811025,0.2586124714462976,0.2629910894455922,0.0
